Data_Year,ID,Name,Address,ZIP Code,Community Area,Primary Property Type,SqFt,Year_Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site_EUI_kBtu_sqft,Source EUI (kBtu/sq ft),Weather_Normalized_Site_EUI_kBtu_sqft,Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2014,158438,Realtor Building,430 N. Michigan Ave,60611,NEAR NORTH SIDE,Office,264980,1962,1,79,12729954,9232664,,,,83,187,80,184,3048,11.5,41.8903758,-87.62467983,"(41.8903758, -87.62467983)"
2014,103685,One North State,1 North State,60602,LOOP,Office,829072,1910,1,74,45261204,23312000,,,,83,201,82,199,10332,12.46,41.88238964,-87.62728409,"(41.88238964, -87.62728409)"
2016,160453,Halsted Flats,3740 N. Halsted St.,60613,LAKE VIEW,Multifamily Housing,229029,2014,1,37,10414072.3,8584234.3,,,,83,182.1,86.4,185.7,2375.5,10.4,41.950426,-87.649507,"(41.950426, -87.649507)"
2015,244791,The Chandler,450 East Waterside Drive,60601,LOOP,Multifamily Housing,444000,2005,1,31,12324482,24539022,,,,83,145.2,85.7,147.6,3780,8.5,41.88716277,-87.61536682,"(41.88716277, -87.61536682)"
2015,252084,Trinity United Church of Christ,400 West 95th Street,60628,WASHINGTON HEIGHTS,Worship Facility,78501,1994,1,15,3865397,2650233,,,,83,190.1,85.5,192.7,917,11.7,41.72088045,-87.63412049,"(41.72088045, -87.63412049)"
2016,112157,Waveland Gardens,626-630 West Waveland,60613,LAKE VIEW,Multifamily Housing,56000,1926,1,60,649075.7,3998700.2,,,,83,111.4,90.9,120.4,332,5.9,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2017,114252,607 Wrightwood Condominium Association,607 W. Wrightwood Ave.,60614,LINCOLN PARK,Multifamily Housing,72000,1974,1,78,1633208,4336492,,,,82.9,134.5,88.4,140.2,532.3,7.4,41.92201051,-87.65461957,"(41.92201051, -87.65461957)"
2017,260051,3710 N PINE GROVE LLC,3710 N PINE GROVE AVE,60613,LAKE VIEW,Multifamily Housing,60300,1971,1,72,1360624,3639222,,,,82.9,134.2,88.2,141.6,444.9,7.4,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2017,102380,4600 N. Cumberland Condominium Association,4600 N. Cumberland Ave.,60656,OHARE,Multifamily Housing,59706,1974,1,75,1128935,3820903,,,,82.9,126.6,87.6,130.5,411.7,6.9,41.97087009,-87.79892589,"(41.97087009, -87.79892589)"
2017,173760,559 W. Surf,559 W. Surf,60657,LAKE VIEW,Multifamily Housing,100000,1904,1,93,800124,7493288,,,,82.9,103.8,90.4,111.6,545.9,5.5,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2017,252286,Delmar Apartments,5042 N. Winthrop,60640,UPTOWN,Multifamily Housing,58772,1920,1,87,1696476,3177583,,,,82.9,147.4,87.4,152.1,482.4,8.2,41.97432223,-87.65769727,"(41.97432223, -87.65769727)"
2017,101961,Inland Steel Building,30 West Monroe,60603,LOOP,Office,300971,1958,1,84,11611271,13341438,,,,82.9,167.7,89.4,176.5,2855.5,9.5,41.88108964,-87.62858918,"(41.88108964, -87.62858918)"
2017,162360,Jordan Comm-CPS,7414 N Wolcott Ave,60626,ROGERS PARK,K-12 School,66950,1996,1,53,1751187,3800853,,,,82.9,141.7,90.1,148.1,525.7,7.9,42.01711706,-87.67802784,"(42.01711706, -87.67802784)"
2016,159411,1130 South Michigan,1130 S Michigan Ave,60605,LOOP,Multifamily Housing,717245,1967,1,59,15589683.9,43845285.8,,,,82.9,132.4,88.8,138.6,5202.3,7.3,41.86850103,-87.62470375,"(41.86850103, -87.62470375)"
2016,113652,(IL622) - 233 E Walton Place Building,233 E. Walton Place,60611,NEAR NORTH SIDE,Multifamily Housing,70242,1926,1,,737101.2,5086805.2,,,,82.9,109,91.8,116.9,406,5.8,41.89579275,-87.62247957,"(41.89579275, -87.62247957)"
2016,123202,Park View Apartments,1936 N Clark St,60614,LINCOLN PARK,Multifamily Housing,176144,1932,1,67,4088749.7,10517417.2,,,,82.9,135.6,87.6,140.5,1312.3,7.5,41.9176944,-87.63567039,"(41.9176944, -87.63567039)"
2016,251220,The John Marshall Law School,304 South State Street ,60604,LOOP,College/University,219500,1915,3,,9621277,8571221.3,,,,82.9,178.6,86.8,180.1,2228.7,10.2,41.87795409,-87.62805193,"(41.87795409, -87.62805193)"
2016,160341,247 East Chestnut Condominium Association,247 East Chestnut,60611,NEAR NORTH SIDE,Multifamily Housing,128464,1955,1,67,2754729.7,7900815.2,,,,82.9,131.9,90.3,138.1,927.4,7.2,41.89843301,-87.61989041,"(41.89843301, -87.61989041)"
2015,236345,The Private Residences at Ontario Place Condominium Association,10 East Ontario,60611,NEAR NORTH SIDE,Multifamily Housing,572908,1983,1,20,38007258,9421755,,,,82.8,225.6,84.7,231.1,8137,14.2,41.893322,-87.62772,"(41.893322, -87.62772)"
2017,254370,Mercy Circle,3659 w 99th Street,60655,Mount Greenwood,Residential Care Facility,146922,2013,1,,8893944,3278135,,,,82.8,192.9,84.3,194.4,1653.8,11.3,41.69338599,-87.70303837,"(41.69338599, -87.70303837)"
2017,114874,4900 Drexel Cooperative,4900 South Drexel,60615,KENWOOD,Multifamily Housing,90000,1940,1,83,314027,7134500,,,,82.8,94.2,90.7,102.5,437,4.9,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
2017,101643,G&A Senior Residence at Ravenswood,1818 W Peterson #900,60660,WEST RIDGE,Multifamily Housing,109912,2006,1,82,1865369,7240127,,,,82.8,122.5,89.7,129.3,729.5,6.6,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
2016,109549,Lunt Avenue Condominium & Health Club,1327-1337 W. Lunt Ave.,60626,ROGERS PARK,Multifamily Housing,59768,1925,1,28,598055.4,4350958.3,,,,82.8,107.9,90.5,114.9,341.3,5.7,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
2016,251456,Carnegie Ele-CPS,1414 E 61st Pl,60637,WOODLAWN,K-12 School,63979,1957,1,49,1644578.9,3650573.4,,,,82.8,140.6,91,149.3,497,7.8,41.78362835,-87.59105171,"(41.78362835, -87.59105171)"
2016,105034,Carmen Marine Tenant Chicago Il,5030 N Marine Dr,60640,UPTOWN,Multifamily Housing,367000,1971,1,78,6116296.6,24266935,,,,82.8,121.8,90.9,130.2,2416.3,6.6,41.97403176,-87.65193469,"(41.97403176, -87.65193469)"
2015,236913,Lake Park Plaza Condominium Association,3930 N. Pine Grove Ave.,60613,LAKE VIEW,Multifamily Housing,491400,1969,1,60,9959857,30730099,,,,82.8,129.3,86.8,133.6,3633,7.4,41.95405095,-87.64853489,"(41.95405095, -87.64853489)"
2016,101878,200 West Jackson Boulevard Building,200 West Jackson Blvd.,60606,LOOP,Office,545162,1971,1,90,14330157.7,21555024.9,,9269000,,82.8,141.1,86.1,144.5,4274.7,7.8,41.87843672,-87.63410024,"(41.87843672, -87.63410024)"
2016,114866,"Barclay Condominium Home Owners' Association, Inc",4940 S. East End Ave.,60615,KENWOOD,Multifamily Housing,146840,1928,1,77,1586317.3,10574161,,,,82.8,109.5,92,118.3,854,5.8,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
2016,260025,560-Autumn Green at Wright Campus,4239 N. Oak Park Ave,60634,DUNNING,Senior Care Community,128542,1997,1,34,4699217.9,5949500.2,,,,82.8,163.4,85.7,165.4,1182.2,9.2,41.95763212,-87.79758332,"(41.95763212, -87.79758332)"
2017,251506,PetersonElem-CPS,5500 N CHRISTIANA,60625,NORTH PARK,K-12 School,97862,1925,1,37,4113248,3978705,,,,82.7,174.7,88.7,180.9,971.8,9.9,41.981312,-87.712487,"(41.981312, -87.712487)"
2017,107850,300 West Adams,300 West Adams,60606,LOOP,Office,289000,1926,1,85,11341420,12560892,,,,82.7,168.9,87.8,173.8,2764.1,9.6,41.87969438,-87.63568353,"(41.87969438, -87.63568353)"
2017,173875,"6161-6165 N. Winthrop, L.L.C.",6165 N. Winthrop Avenue,60660,EDGEWATER,Multifamily Housing,50901,1925,1,89,962873,3244622,,,,82.7,126.3,89.2,133.2,350.4,6.9,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
2017,254384,Leslie Shankman School Corporation Building,6245 South Ingleside,60637,Woodlawn,K-12 School,74910,2014,1,55,2708943,3489582,,,,82.7,160.2,,,671.6,9,41.78040086,-87.60270024,"(41.78040086, -87.60270024)"
2015,251643,West Park Ac-CPS,1425 N TRIPP AVE,60651,HUMBOLDT PARK,K-12 School,81350,1996,1,19,3055733,3669314,,,,82.7,165.3,86,168.4,809,9.9,41.90686643,-87.73217473,"(41.90686643, -87.73217473)"
2016,162360,Jordan Comm-CPS,7414 N Wolcott Ave,60626,ROGERS PARK,K-12 School,66950,1996,1,46,2100793.3,3438034.8,,,,82.7,152.4,87.8,157.8,569.8,8.5,42.01711706,-87.67802784,"(42.01711706, -87.67802784)"
2016,113593,1335 Astor Cooperative,1335 N Astor Street,60610,NEAR NORTH SIDE,Multifamily Housing,110100,1949,1,61,2169977.4,6938299.9,,,,82.7,128.1,89.9,133.6,769.7,7,41.9037528,-87.63558845,"(41.9037528, -87.63558845)"
2016,135181,Kingsbury Center,350 W Hubbard Street,60654,NEAR NORTH SIDE,Office,154614,1989,1,75,8196661.2,4591846.9,,,,82.7,197.6,85.8,200.9,1754.7,11.3,41.88994802,-87.63762147,"(41.88994802, -87.63762147)"
2017,160305,550 St. Clair Condominium,550 N St. Clair St,60611,NEAR NORTH SIDE,Multifamily Housing,170645,2008,1,69,4137081,9966194,,,,82.6,137.4,88.2,143.3,1294.3,7.6,41.89205598,-87.62271597,"(41.89205598, -87.62271597)"
2017,251473,Onahan Eleme-CPS,6634 W Raven St,60631,NORWOOD PARK,K-12 School,90969,1928,1,39,2073205,5441985,,,,82.6,134.4,94.3,146.6,672.4,7.4,41.99414851,-87.79250937,"(41.99414851, -87.79250937)"
2017,118695,260-Senior Suites of Bridgeport,2825 S. Halsted,60608,BRIDGEPORT,Senior Care Community,69455,2005,1,67,1858230,3877500,,,,82.6,142.6,88.5,149.8,549.5,7.9,41.84915346,-87.67089596,"(41.84915346, -87.67089596)"
2017,174135,Times Square Apartments,869 Buena,60613,UPTOWN,Multifamily Housing,142000,1923,1,70,2454900,9271346,,,,82.6,122.8,88.1,129.1,946.3,6.7,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2017,173821,Reside on Clarendon,4157 North Clarendon Avenue,60613,UPTOWN,Multifamily Housing,62388,1925,1,84,1293998,3858700,,,,82.6,130.1,88.1,135.8,444.2,7.1,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2017,227730,4300 Marine Drive Condominium Association,4300 N. Marine Dr.,60613,UPTOWN,Multifamily Housing,193880,1930,1,64,2129102,13882013,,,,82.6,109.7,89.3,116.9,1131,5.8,41.96126002,-87.64738594,"(41.96126002, -87.64738594)"
2016,251325,Belden-Racine Hall,2311 N. Racine,60614,LINCOLN PARK,College/University,68245,2000,1,,1503774.2,4132002.1,,,,82.6,132.8,90.5,141.1,496.6,7.3,41.92390285,-87.65817716,"(41.92390285, -87.65817716)"
2016,174135,Times Square Apartments,869 Buena,60613,UPTOWN,Multifamily Housing,142000,1923,1,74,2506380.1,9224048,,,,82.6,123.6,87.9,128.7,951.9,6.7,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2016,252073,118 S Clinton,118 S Clinton Street,60661,NEAR WEST SIDE,Office,77969,1910,1,39,6441879.9,,,,,82.6,259.4,82.6,259.4,1191.1,15.3,41.87993535,-87.64144916,"(41.87993535, -87.64144916)"
2015,238266,The Fordham Condominium Association,25 E Superior,60611,NEAR NORTH SIDE,Multifamily Housing,588926,2002,1,6,30619605,9928746,,8090796,,82.6,194.7,84.9,202.1,,,41.89530417,-87.62727758,"(41.89530417, -87.62727758)"
2016,103641,33 North LaSalle Street,33 North LaSalle Street,60602,LOOP,Office,477171,1929,1,84,12839936,24650916.4,,1919135.9,,82.6,142.8,88.8,149.3,3777.1,7.9,41.88286478,-87.63205333,"(41.88286478, -87.63205333)"
2016,103738,Drexel Towers 4825,4825 S. Drexel ,60615,KENWOOD,Multifamily Housing,89000,1970,1,81,1444558.9,5903296.2,,,,82.6,120.6,88.5,125.4,579.8,6.5,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
2017,102456,"High School/ Middle School/ Sunny and Kovler Gym/ Belfield, Judd, Blaine Hall",5840 South Kenwood Avenue,60637,HYDE PARK,K-12 School,543787,1961,7,18,13239601,,20114590,11517392,,82.5,142.1,84.3,144.5,4390.5,8.1,41.78855503,-87.59395643,"(41.78855503, -87.59395643)"
2017,254385,St. Bernard Ambulatory Care Center,6307 S. Stewart Ave,60621,Englewood,Medical Office,66634,2016,1,66,3603376,1890895,,,,82.5,199.6,86.2,202.8,766.7,11.5,41.77391183,-87.63872071,"(41.77391183, -87.63872071)"
2017,251220,The John Marshall Law School,304 South State Street,60604,LOOP,College/University,219500,1915,3,,9301402,8797695,,,,82.5,175.1,87.1,179.4,2187.1,10,41.87795409,-87.62805193,"(41.87795409, -87.62805193)"
2017,244387,Regatta Condominium Association,420 E. Waterside Dr,60601,LOOP,Multifamily Housing,452227,2006,1,44,13592173,23703268,,,,82.5,149.4,86.2,153.3,3772.1,8.3,41.88718713,-87.61626502,"(41.88718713, -87.61626502)"
2016,245071,Lake Shore Condominium Assn.,1440 N. Lake Shore Dr.,60610,NEAR NORTH SIDE,Multifamily Housing,376600,1961,1,,7765486.8,23312141.8,,,,82.5,129.7,89,133.7,2669.6,7.1,41.90899977,-87.62663916,"(41.90899977, -87.62663916)"
2016,173875,"6161-6165 N. Winthrop, L.L.C.",6165 N. Winthrop Avenue,60660,EDGEWATER,Multifamily Housing,50901,1925,1,90,994734.5,3204813.6,,,,82.5,127.5,87.3,132.5,353.6,6.9,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
2015,119128,440 North Wells Street,440 North Wells Street,60611,NEAR NORTH SIDE,Office,112671,1905,1,77,4844259,4456338,,,,82.5,176.5,85.8,179.9,1210,10.7,41.8902394,-87.63405731,"(41.8902394, -87.63405731)"
2015,251682,Lyon Element-CPS,2941 N Mcvicker Ave,60634,BELMONT CRAGIN,K-12 School,117576,1920,1,33,4448317,5255296,,,,82.5,165.7,83.4,166.6,1173,10,41.93420309,-87.7768914,"(41.93420309, -87.7768914)"
2016,175231,Park Place on the Blvd,1118-1128 E. Hyde Park,60615,KENWOOD,Multifamily Housing,64000,2007,1,1,5277442.8,,,,,82.5,258.9,87.5,274.9,972.7,15.2,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
2015,161204,Illinois College of Optometry,3241 South Michigan Ave,60616-0000,DOUGLAS,College/University,333084,1968,2,,14488277,12996000,,,,82.5,177.5,82.4,177.4,3601,10.8,41.83550388,-87.62254535,"(41.83550388, -87.62254535)"
2015,162351,Resurrection College Prep High School,7500 W Talcott,60631,NORWOOD PARK,K-12 School,169870,1962,1,62,4074392,9934171,,,,82.5,136.7,83.8,138.1,1346,7.9,41.99119566,-87.81565308,"(41.99119566, -87.81565308)"
2017,250072,Lake Parc Place,3939-3983 S. LAKE PARK AVE,60653,OAKLAND,Multifamily Housing,291997,1953,2,88,2648336,21413624,,,,82.4,105.5,89.2,113,1627,5.6,41.82392056,-87.6026878,"(41.82392056, -87.6026878)"
2017,251251,Union Square Condominium Assoc.,333 West Hubbard Street,60654,NEAR NORTH SIDE,Multifamily Housing,305264,1918,2,49,6917758,18228143,,,,82.4,133.9,87.3,139.1,2247.2,7.4,41.8897341,-87.63612368,"(41.8897341, -87.63612368)"
2017,101708,233 North Michigan Avenue,233 North Michigan Avenue,60601,LOOP,Office,1155516,1972,1,77,46649001,48608734,,,,82.4,170.9,86.8,176.2,11207,9.7,41.8869574,-87.62305507,"(41.8869574, -87.62305507)"
2017,245071,Lake Shore Condominium Assn.,1440 N. Lake Shore Dr.,60610,NEAR NORTH SIDE,Multifamily Housing,376600,1961,1,54,7296320,23720073,,,,82.4,127,88.7,134.1,2608.9,6.9,41.90899977,-87.62663916,"(41.90899977, -87.62663916)"
2017,104300,Roscoe Building,434 W. Roscoe,60657,LAKE VIEW,Multifamily Housing,71532,1917,1,58,673829,5222800,,,,82.4,106.2,82.4,106.2,402,5.6,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2017,251325,Belden-Racine Hall,2311 N. Racine,60614,LINCOLN PARK,College/University,68245,2000,1,,1391199,4232013,,,,82.4,129.1,88.7,135.8,482,7.1,41.92390285,-87.65817716,"(41.92390285, -87.65817716)"
2016,159896,Regents Park,5020-5050 S Lake Shore Drive,60615,KENWOOD,Multifamily Housing,1483727,1972,1,55,31697906.5,90544498.6,,,,82.4,131.2,88.6,137.7,10651.8,7.2,41.80366926,-87.58484454,"(41.80366926, -87.58484454)"
2015,251367,Norwood Park-CPS,5900 N Nina Ave,60631,NORWOOD PARK,K-12 School,56330,1916,1,24,2865197,1778477,,,,82.4,192.9,83,193,670,11.9,41.98925073,-87.80266407,"(41.98925073, -87.80266407)"
2016,251682,Lyon Element-CPS,2941 N Mcvicker Ave,60634,BELMONT CRAGIN,K-12 School,117576,1920,1,34,4426339.8,5259259.7,,,,82.4,165.2,87,170,1095.2,9.3,41.93420309,-87.7768914,"(41.93420309, -87.7768914)"
2016,111987,442 Wellington Cooperative,442 W Wellington Ave.,60657,LAKE VIEW,Multifamily Housing,99925,1926,1,35,1919809.6,6310823.6,,,,82.4,126.6,90.7,135.4,689.1,6.9,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2016,158472,Metropolis,8 West Monroe Street,60603,LOOP,Multifamily Housing,218624,2006,1,30,8827533.2,9178223.5,,,,82.4,170.9,85.9,173.3,2114.6,9.7,41.88095952,-87.6277973,"(41.88095952, -87.6277973)"
2015,251649,RyderWilliam-CPS,8716 S WALLACE ST,60620,AUBURN GRESHAM,K-12 School,73326,1963,1,54,1493316,4550457,,,,82.4,129.1,87.4,134.6,542,7.4,41.73526106,-87.6395147,"(41.73526106, -87.6395147)"
2016,244387,Regatta Condominium Association,420 E. Waterside Dr,60601,LOOP,Multifamily Housing,452227,2006,1,50,13538273.5,23745276.9,,,,82.4,149.1,88,155,3756.6,8.3,41.88718713,-87.61626502,"(41.88718713, -87.61626502)"
2017,251593,Clay Element-CPS,13221 S Burley,60633,HEGEWISCH,K-12 School,81950,1917,1,73,1356530,5387873,,,,82.3,121,98.2,139,537,6.6,41.655086,-87.544686,"(41.655086, -87.544686)"
2017,251414,WadsworthDumas-CPS,6650 S Ellis Ave,60637,WOODLAWN,K-12 School,64558,1963,1,45,1686928,3623087,,,,82.3,141,91.1,150.3,504.3,7.8,41.77374217,-87.60122846,"(41.77374217, -87.60122846)"
2017,251704,ArmstrongInt-CPS,2110 W Greenleaf Ave,60645,WEST RIDGE,K-12 School,147016,1912,1,27,6051561,6048821,,,,82.3,172.5,88.7,179,1440.2,9.8,42.01059222,-87.68459629,"(42.01059222, -87.68459629)"
2017,100429,The John Hancock Center,875 N Michigan Ave,60611,NEAR NORTH SIDE,Mixed Use Property,2290873,1970,1,23,188512522,,,,,82.3,258.4,82.3,258.4,34855,15.2,41.89880204,-87.62297591,"(41.89880204, -87.62297591)"
2017,172053,Leo High School,7901 South Sangamon,60620,AUBURN GRESHAM,K-12 School,88206,1926,1,66,867335,6391452,,,,82.3,107,90.2,115.3,499.8,5.7,41.75029724,-87.64707116,"(41.75029724, -87.64707116)"
2016,172128,The Moody Memorial Church,1609 1641 N LASALLE DR,60614,LINCOLN PARK,Worship Facility,145300,1925,1,26,5189556.5,6762000,,,,82.3,161,87.3,166.3,1315.7,9.1,41.91180513,-87.63261624,"(41.91180513, -87.63261624)"
2016,237359,Edgewater Beach Apartments,5555 N Sheridan Road,60640,EDGEWATER,Multifamily Housing,613400,1927,1,,7821436.8,42681501.7,,,,82.3,113.1,91,122.2,3708.7,6,41.98320653,-87.6546195,"(41.98320653, -87.6546195)"
2016,101874,CW GLL 444 N. Michigan,444 N. Michigan Avenue,60611,NEAR NORTH SIDE,Office,517115,1976,1,49,42479058.8,55860.9,,,,82.3,258.1,86.6,271.8,7832.8,15.1,41.89069402,-87.62477656,"(41.89069402, -87.62477656)"
2016,222598,(IL510) - Emerald Condo,123-125 S Green St.,60607,NEAR WEST SIDE,Multifamily Housing,251501,2008,1,47,6662605.6,14024804.2,,,,82.3,141.7,87.8,145.4,1973,7.8,41.88022924,-87.64817387,"(41.88022924, -87.64817387)"
2016,173767,Reside at Belmont Harbor,426 West Belmont Avenue,60657,LAKE VIEW,Multifamily Housing,59150,1933,1,67,1718331,3147768.8,,,,82.3,147.1,87.9,153,483.9,8.2,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2015,250080,Albany Terrace Apartments,3030 W. 21ST PLACE,60623,SOUTH LAWNDALE,Multifamily Housing,262612,1974,1,75,4418410,17192700,,,,82.3,121.6,83.9,123.3,1801,6.9,41.85331733,-87.70144548,"(41.85331733, -87.70144548)"
2015,251574,Ariel Elemen-CPS,1119 E 46th St,60653,KENWOOD,K-12 School,147109,1893,1,44,4274328,7831385,,,,82.3,147.1,86.6,151.6,1275,8.7,41.81098941,-87.59800845,"(41.81098941, -87.59800845)"
2016,103655,Stein Place,5825 S. Dorchester,60637,HYDE PARK,Multifamily Housing,81561,1966,1,36,1673028.5,,5035885.6,,,82.3,138.7,89.6,147.5,642.7,7.9,41.78046327,-87.6053081,"(41.78046327, -87.6053081)"
2016,142211,642 W. Addison Apartments,630-644 W. Addison St.,60642,LAKE VIEW,Multifamily Housing,50736,1925,1,90,111064,4062754.7,,,,82.3,91,90.8,99.9,236.3,4.7,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2017,255011,Hampton Inn Chicago North/Loyola Station,1209 W Albion,60626,Rogers Park,Hotel,92240,2016,1,82,3019546,4562261,,,,82.2,154.7,86.6,161.3,800.6,8.7,42.00245984,-87.66136235,"(42.00245984, -87.66136235)"
2017,159564,65 E Scott,65 E Scott,60610,NEAR NORTH SIDE,Multifamily Housing,218500,1975,1,13,8589488,9365636,,,,82.2,168.4,85.8,179.8,2085.6,9.5,41.90444748,-87.62618786,"(41.90444748, -87.62618786)"
2016,103664,Northern Trust Headquarters,50 S. LaSalle,60603,LOOP,Financial Office,580000,1963,1,86,26932577.6,20737299.8,,,,82.2,183.3,86,187.3,6065.7,10.5,41.88103427,-87.63261241,"(41.88103427, -87.63261241)"
2015,251572,Barton Eleme-CPS,7650 S Wolcott Ave,60620,AUBURN GRESHAM,K-12 School,82203,1928,1,35,3196472,3560961,,,,82.2,167.6,87.6,175.8,831,10.1,41.75450541,-87.67138593,"(41.75450541, -87.67138593)"
2016,103743,33 N. Dearborn,33 N. Dearborn,60602,LOOP,Office,372137,1966,1,93,8283486.4,13516874.8,,8782020,,82.2,131.6,85,134.7,2707.6,7.3,41.88287054,-87.62903883,"(41.88287054, -87.62903883)"
2017,112395,3600 Pine Grove Court Condominium Association,3600-3608 N. Pine Grove Ave.,60613,LAKE VIEW,Multifamily Housing,52015,1925,1,74,786443,3485992,,,,82.1,117.8,88.4,124.4,330.6,6.4,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2017,140991,One East 15th Place Condominium,1529 S State St,60605,NEAR SOUTH SIDE,Multifamily Housing,188000,2001,1,34,6242957,9184650,,,,82.1,155.6,86.7,159.6,1642.1,8.7,41.86863212,-87.62730687,"(41.86863212, -87.62730687)"
2017,251427,Mays-CPS,6646 S Normal,60621,ENGLEWOOD,K-12 School,65017,1963,1,42,1259479,4079921,,,,82.1,126.7,90.3,135.3,449.6,6.9,41.773223,-87.636873,"(41.773223, -87.636873)"
2017,159528,(ILCH353) - Echelon [external],353 N. Des Plaines,60661,NEAR WEST SIDE,Multifamily Housing,333262,2008,1,31,11680501,15665379,,,,82.1,159.4,82.4,160.5,2991.7,9,41.88838308,-87.64399483,"(41.88838308, -87.64399483)"
2017,156500,Flat Iron Building,1565 1581 N Milwaukee Ave,60622,WEST TOWN,Office,92168,1913,1,85,1652985,5910718,,,,82.1,123.7,91.3,133.4,619.6,6.7,41.91026112,-87.67674802,"(41.91026112, -87.67674802)"
2017,165924,Lincoln Park Plaza,600 W Diversey Pkwy,60614,LAKE VIEW,Multifamily Housing,270315,1982,1,76,6268782,15915312,,,,82.1,134.6,87.2,140.1,2004.4,7.4,41.93284849,-87.64381155,"(41.93284849, -87.64381155)"
2015,251522,CuffeMathSnc-CPS,8324 S Racine Ave,60620,AUBURN GRESHAM,K-12 School,82120,2003,1,25,4064596,2681189,,,,82.1,189.7,84.4,191.3,959,11.7,41.74243045,-87.65386181,"(41.74243045, -87.65386181)"
2016,112395,3600 Pine Grove Court Condominium Association,3600-3608 N. Pine Grove Ave.,60613,LAKE VIEW,Multifamily Housing,52015,1925,1,74,900505.3,3368050.1,,,,82.1,122.4,90.5,131.2,344.9,6.6,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2015,251223,564 West Randolph,564 West Randolph Street,60661,NEAR WEST SIDE,Office,119829,1908,1,80,4796924,5037993,,,,82.1,169.8,85.2,172.6,1231,10.3,41.88463844,-87.64232477,"(41.88463844, -87.64232477)"
2016,251231,The Scott Residences,211 W Scott,60610,NEAR NORTH SIDE,Multifamily Housing,72639,2014,1,2,4381059.2,1584742,,,,82.1,212.3,80.6,207.5,891.7,12.3,41.90492512,-87.63490115,"(41.90492512, -87.63490115)"
2016,102331,DisneyMagnet-CPS,4140 N Marine Dr,60613,UPTOWN,K-12 School,260140,1971,1,2,16308329.6,5056036.6,,,,82.1,217.3,84.9,220.1,3274.5,12.6,41.95672595,-87.64700522,"(41.95672595, -87.64700522)"
2016,157607,Hilliard Homes Limited Partnership (Senior),2111 S Clark,60616,NEAR SOUTH SIDE,Multifamily Housing,250300,1966,2,73,5376401,15177200.1,,,,82.1,131.1,86.5,133.4,1797.1,7.2,41.853983,-87.630083,"(41.853983, -87.630083)"
2015,251395,Mcclellan El-CPS,3527 S Wallace St,60609,BRIDGEPORT,K-12 School,58108,1883,1,56,1197484,3575083,,,,82.1,129.3,86.9,134.4,431,7.4,41.83035712,-87.64086107,"(41.83035712, -87.64086107)"
2016,251919,223 West Erie,223 West Erie Street,60654,NEAR NORTH SIDE,Office,70000,1890,1,75,3488374.2,2256693.1,,,,82.1,190.3,85.8,192,762.8,10.9,41.89374466,-87.63530787,"(41.89374466, -87.63530787)"
2017,175470,1712 West Albion,1712 - 20 West Albion Avenue,60626,ROGERS PARK,Multifamily Housing,53696,1925,1,58,561765,3838779,,,,82,107.9,90.3,116.5,307.8,5.7,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
2017,160294,Adler Place,1629 S Prairie Ave,60616,NEAR SOUTH SIDE,Multifamily Housing,384169,2013,1,62,10983692,20507791,,,,82,145.8,86.4,149.9,3120.1,8.1,41.85950051,-87.62036992,"(41.85950051, -87.62036992)"
2016,159310,(ILCH2138) - The Lex [external],2138 S. Indiana,60616,NEAR SOUTH SIDE,Multifamily Housing,441959,2007,1,24,16445253.1,19794001.6,,,,82,163.9,82,163.8,4082.6,9.2,41.85321746,-87.62304215,"(41.85321746, -87.62304215)"
2016,244073,900 N. Lake Shore: 900/910 North Lake Shore Drive,900 North Lake Shore Drive,60611,NEAR NORTH SIDE,Multifamily Housing,622596,1955,1,52,12870613.3,38177282.1,,,,82,129.3,89,134.5,4400.1,7.1,41.89949788,-87.61957344,"(41.89949788, -87.61957344)"
